,edad,trabajo,educacion,deuda,saldo,vivienda,prestamo,duracion,fecha_contacto,campaign,tiempo_transcurrido,contactos_anteriores,target,desconocido,fijo,movil,desconocido,fijo,movil,exito,nuevo_cliente,otro,sin_exito
42,37,0,0.0,0,1967,0,0,376,1635285600,1,-1,0,1,0,1,0,0,1,0,0,1,0,0
43,44,2,2.0,0,650,1,0,142,1620252000,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
44,34,1,2.0,0,1309,1,0,456,1620770400,2,364,1,0,0,0,1,0,0,1,0,0,0,1
45,51,0,0.0,0,115,1,1,136,1620424800,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
46,27,9,0.0,0,337,0,0,23,1625781600,1,-1,0,1,1,0,0,1,0,0,0,1,0,0
47,49,9,1.0,0,874,1,0,152,1621116000,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
48,65,5,,0,679,0,0,593,1620856800,2,178,1,0,0,0,1,0,0,1,1,0,0,0
49,36,7,0.0,0,8114,1,0,505,1622930400,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
50,32,4,0.0,0,453,1,0,544,1612220400,1,269,2,0,0,0,1,0,0,1,0,0,0,1
51,56,4,1.0,0,0,1,0,259,1620165600,2,-1,0,0,0,1,0,0,1,0,0,1,0,0
52,28,1,0.0,0,258,1,0,134,1627077600,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
53,59,4,1.0,0,2540,0,0,1432,1626386400,5,-1,0,0,0,0,1,0,0,1,0,1,0,0
54,28,1,0.0,0,196,1,0,176,1624658400,7,-1,0,0,1,0,0,1,0,0,0,1,0,0
55,33,10,1.0,0,14889,1,0,22,1612306800,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
56,44,4,1.0,0,0,0,0,54,1625695200,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
57,39,3,2.0,0,1340,0,0,113,1623967200,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
58,33,4,1.0,0,1323,0,0,327,1622498400,1,-1,0,1,0,0,1,0,0,1,0,1,0,0
59,60,11,2.0,0,4722,0,0,459,1624140000,3,-1,0,0,1,0,0,1,0,0,0,1,0,0
60,34,7,0.0,0,267,0,0,449,1625695200,2,-1,0,1,0,0,1,0,0,1,0,1,0,0
61,33,1,2.0,0,60,0,0,131,1620511200,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
62,39,4,1.0,0,355,1,0,313,1629842400,5,-1,0,0,0,0,1,0,0,1,0,1,0,0
63,31,1,0.0,0,-452,1,0,182,1621980000,5,-1,0,0,1,0,0,1,0,0,0,1,0,0
64,38,4,0.0,0,93,0,0,515,1625263200,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
65,32,1,0.0,0,10142,1,0,249,1637362800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
66,24,8,0.0,0,82,1,0,204,1620165600,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
67,40,6,0.0,0,1270,1,0,1049,1620424800,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
68,47,9,0.0,0,80,1,0,169,1626386400,5,-1,0,0,0,0,1,0,0,1,0,1,0,0
69,37,0,0.0,0,-17,1,0,400,1620684000,2,340,2,0,0,0,1,0,0,1,0,0,0,1
70,57,4,1.0,0,113,0,0,191,1612306800,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
71,44,0,0.0,0,447,1,1,106,1620943200,5,-1,0,0,1,0,0,1,0,0,0,1,0,0
72,31,9,0.0,0,-348,1,0,410,1621288800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
73,29,0,1.0,0,238,0,0,79,1614294000,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
74,60,1,2.0,0,7601,1,0,285,1620424800,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
75,55,9,0.0,0,-14,1,0,82,1620770400,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
76,50,10,2.0,0,210,0,0,247,1623794400,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
77,26,7,0.0,0,1163,0,1,239,1627423200,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
78,28,4,1.0,0,492,0,0,281,1625176800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
79,41,0,0.0,0,2661,1,0,258,1627077600,1,-1,0,0,0,1,0,0,1,0,0,1,0,0
80,33,11,,0,1,0,0,198,1620165600,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
81,37,9,0.0,0,123,1,1,530,1620252000,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
82,53,3,2.0,0,104,0,1,701,1622844000,1,-1,0,1,1,0,0,1,0,0,0,1,0,0
83,45,6,1.0,0,-312,0,0,46,1637190000,4,-1,0,0,0,1,0,0,1,0,0,1,0,0
84,61,9,2.0,0,2282,0,0,1092,1637794800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
85,48,4,,0,375,0,0,290,1611788400,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
86,29,9,0.0,0,1165,0,0,245,1622584800,1,-1,0,1,0,0,1,0,0,1,0,1,0,0
87,34,9,0.0,1,91,0,0,67,1630188000,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
88,35,6,0.0,0,188,1,1,1865,1622844000,2,-1,0,1,1,0,0,1,0,0,0,1,0,0
89,43,7,0.0,0,861,1,0,78,1623189600,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
90,30,7,0.0,0,249,1,0,294,1618610400,1,275,2,0,0,0,1,0,0,1,0,0,0,1
91,58,5,0.0,0,413,0,0,104,1630015200,5,-1,0,0,0,0,1,0,0,1,0,1,0,0
92,54,6,,0,204,0,0,231,1630015200,5,-1,0,0,0,0,1,0,0,1,0,1,0,0
93,27,0,0.0,0,1492,1,0,67,1621720800,13,-1,0,0,1,0,0,1,0,0,0,1,0,0
94,45,4,1.0,0,3857,1,0,425,1628632800,2,190,1,0,0,0,1,0,0,1,0,0,0,1
95,50,9,1.0,0,329,0,0,329,1629324000,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
96,49,0,0.0,0,326,1,0,99,1620338400,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
97,28,1,1.0,0,1984,1,0,32,1620079200,2,14,1,0,0,0,1,0,0,1,0,0,0,1
98,34,9,0.0,0,256,1,0,201,1628719200,2,267,1,0,0,0,1,0,0,1,0,0,0,1
99,33,0,1.0,0,193,0,0,132,1620165600,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
100,36,10,0.0,0,-129,1,0,121,1627509600,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
101,27,0,0.0,0,691,1,0,418,1622671200,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
102,40,5,0.0,0,1734,1,0,123,1622671200,4,-1,0,0,1,0,0,1,0,0,0,1,0,0
103,34,1,0.0,0,563,0,1,150,1612306800,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
104,47,1,0.0,0,303,0,0,261,1623362400,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
105,40,1,0.0,0,1313,0,0,87,1620943200,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
106,56,1,0.0,0,6483,1,0,125,1618524000,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
107,60,4,1.0,0,73,0,0,243,1628373600,2,-1,0,1,0,1,0,0,1,0,0,1,0,0
108,47,0,,0,0,1,0,164,1620338400,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
109,54,4,0.0,0,4816,0,1,406,1625781600,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
110,31,8,1.0,0,117,1,0,41,1626559200,1,-1,0,0,0,1,0,0,1,0,0,1,0,0
111,52,4,1.0,0,37,0,0,1284,1625608800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
112,24,8,0.0,0,431,0,0,418,1629324000,11,185,5,1,0,0,1,0,0,1,1,0,0,0
113,30,7,0.0,0,5,0,1,829,1625868000,5,-1,0,1,0,0,1,0,0,1,0,1,0,0
114,46,1,2.0,0,-339,1,1,182,1620684000,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
115,45,0,0.0,0,171,1,0,539,1620770400,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
116,40,8,0.0,0,595,1,0,406,1622671200,2,-1,0,1,0,0,1,0,0,1,0,1,0,0
117,32,0,0.0,0,684,1,0,607,1620943200,3,-1,0,1,0,0,1,0,0,1,0,1,0,0
118,26,7,0.0,0,4,1,0,201,1627423200,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
119,35,9,1.0,0,0,1,1,135,1619388000,3,363,2,0,0,0,1,0,0,1,0,0,0,1
120,53,2,0.0,0,230,1,0,56,1612393200,2,250,1,0,0,0,1,0,0,1,0,0,1,0
121,49,4,1.0,0,108,0,0,210,1629928800,6,-1,0,0,0,0,1,0,0,1,0,1,0,0
122,52,1,2.0,0,0,0,0,179,1628632800,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
123,41,9,1.0,0,15302,0,0,121,1629324000,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
124,57,0,0.0,0,4168,1,1,47,1621116000,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
125,51,1,2.0,0,48,0,1,130,1623880800,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
126,31,7,0.0,0,166,1,0,227,1620684000,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
127,36,4,1.0,0,11675,1,0,48,1637362800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
128,35,5,2.0,0,329,0,1,520,1625695200,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
129,49,1,2.0,0,154,1,0,26,1629237600,15,-1,0,0,0,0,1,0,0,1,0,1,0,0
130,35,2,1.0,0,7962,1,0,275,1617919200,2,140,2,0,0,0,1,0,0,1,0,0,0,1
131,31,4,0.0,0,466,1,0,164,1620943200,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
132,37,1,,0,969,1,0,343,1620943200,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
133,32,9,1.0,0,2976,1,0,783,1612479600,1,175,5,1,0,0,1,0,0,1,0,0,0,1
134,41,0,0.0,0,4320,1,0,245,1622844000,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
135,30,9,1.0,0,880,1,1,967,1621375200,6,-1,0,1,1,0,0,1,0,0,0,1,0,0
136,36,6,0.0,0,1245,1,0,8,1612825200,7,248,9,0,0,0,1,0,0,1,1,0,0,0
137,33,1,0.0,0,315,0,0,146,1612393200,3,-1,0,1,0,0,1,0,0,1,0,1,0,0
138,51,9,0.0,0,1153,1,0,76,1618869600,5,-1,0,0,0,0,1,0,0,1,0,1,0,0
139,32,4,1.0,0,0,0,0,63,1630188000,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
140,40,1,2.0,0,442,1,0,212,1617228000,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
141,43,4,1.0,0,483,0,0,950,1629324000,6,-1,0,1,0,0,1,0,0,1,0,1,0,0
142,34,1,2.0,0,695,1,1,1064,1621116000,4,-1,0,1,1,0,0,1,0,0,0,1,0,0
143,40,3,0.0,0,84,1,1,230,1623448800,7,-1,0,0,1,0,0,1,0,0,0,1,0,0
144,51,1,0.0,0,2007,1,0,1226,1628719200,3,-1,0,1,0,0,1,0,0,1,0,1,0,0
145,58,3,0.0,0,0,0,0,478,1625176800,2,-1,0,1,0,0,1,0,0,1,0,1,0,0
146,47,7,0.0,0,1315,0,0,329,1637362800,4,-1,0,1,0,0,1,0,0,1,0,1,0,0
147,52,4,1.0,0,698,1,0,213,1625954400,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
148,53,4,1.0,0,6525,1,0,73,1622584800,3,-1,0,0,1,0,0,1,0,0,0,1,0,0
149,32,1,0.0,0,736,1,0,700,1621720800,3,-1,0,0,1,0,0,1,0,0,0,1,0,0
150,32,9,0.0,0,0,1,1,428,1625868000,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
151,49,9,0.0,0,9131,1,0,532,1629237600,1,461,5,1,0,0,1,0,0,1,0,0,0,1
152,57,9,2.0,0,13,1,0,323,1620424800,2,368,2,0,0,0,1,0,0,1,0,0,0,1
153,38,4,1.0,0,14352,0,0,8,1630879200,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
154,32,9,0.0,0,-410,1,1,179,1620770400,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
155,20,8,,0,292,0,0,45,1620079200,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
156,32,0,0.0,0,298,1,0,12,1612825200,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
157,33,4,1.0,0,3915,0,0,65,1628287200,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
158,30,8,,0,145,0,0,96,1612479600,3,175,1,0,0,0,1,0,0,1,0,0,0,1
159,37,2,1.0,0,264,1,1,220,1623794400,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
160,34,9,0.0,0,0,1,0,141,1627164000,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
161,32,0,0.0,0,289,0,0,255,1621029600,12,-1,0,0,1,0,0,1,0,0,0,1,0,0
162,36,4,1.0,0,82,0,0,124,1612220400,1,178,4,0,0,0,1,0,0,1,1,0,0,0
163,49,0,0.0,0,560,1,0,85,1627164000,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
164,49,9,0.0,1,410,0,0,117,1630015200,7,-1,0,0,0,0,1,0,0,1,0,1,0,0
165,53,0,0.0,0,887,1,0,169,1620856800,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
166,53,4,1.0,0,6649,1,0,83,1625608800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
167,56,9,0.0,0,3450,0,0,507,1628546400,1,181,2,1,0,0,1,0,0,1,1,0,0,0
168,50,1,0.0,0,3988,0,0,165,1625004000,4,-1,0,0,1,0,0,1,0,0,0,1,0,0
169,31,10,2.0,0,1,0,0,19,1612220400,6,-1,0,0,0,0,1,0,0,1,0,1,0,0
170,75,5,2.0,0,962,0,0,344,1623880800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
171,34,4,1.0,0,158,0,0,278,1631138400,2,132,4,1,0,0,1,0,0,1,0,0,0,1
172,56,5,0.0,0,-82,0,1,234,1627509600,6,-1,0,0,0,0,1,0,0,1,0,1,0,0
173,56,4,1.0,0,545,1,0,86,1611874800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
174,44,9,0.0,0,59,1,0,9,1621288800,4,341,19,0,0,0,1,0,0,1,0,0,0,1
175,38,7,0.0,0,434,1,0,411,1621461600,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
176,51,9,2.0,0,300,0,1,8,1612479600,6,-1,0,0,0,0,1,0,0,1,0,1,0,0
177,42,4,1.0,0,1206,0,0,136,1623189600,4,-1,0,0,1,0,0,1,0,0,0,1,0,0
178,37,4,1.0,0,784,1,0,41,1612825200,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
179,26,1,0.0,0,245,1,0,146,1622152800,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
180,43,1,0.0,0,1035,0,0,122,1611788400,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
181,31,4,1.0,0,1475,1,1,76,1622584800,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
182,36,9,1.0,0,341,0,0,419,1613084400,2,183,1,1,0,0,1,0,0,1,1,0,0,0
183,46,4,1.0,0,2671,0,0,180,1636758000,3,91,4,0,0,0,1,0,0,1,1,0,0,0
184,27,4,1.0,0,6791,0,0,136,1624485600,5,94,30,0,0,0,1,0,0,1,0,0,0,1
185,37,4,1.0,0,199,1,0,50,1634508000,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
186,36,4,1.0,0,699,0,0,125,1626991200,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
187,27,2,1.0,0,-23,0,0,123,1625868000,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
188,41,9,0.0,0,2185,1,0,157,1617746400,4,309,4,0,0,0,1,0,0,1,0,0,1,0
189,44,4,1.0,0,318,0,0,638,1637190000,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
190,32,4,1.0,0,715,0,0,159,1628632800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
191,24,8,0.0,0,1684,0,0,112,1617660000,4,-1,0,0,0,0,1,0,0,1,0,1,0,0
192,60,3,,0,10285,0,0,174,1622930400,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
193,31,9,0.0,0,147,1,0,374,1620338400,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
194,57,4,1.0,0,909,1,0,147,1627164000,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
195,34,1,0.0,0,3043,1,1,670,1637362800,1,-1,0,1,0,0,1,0,0,1,0,1,0,0
196,31,4,1.0,0,430,1,0,137,1627164000,16,-1,0,0,0,0,1,0,0,1,0,1,0,0
197,46,1,2.0,0,1,1,1,270,1625868000,7,-1,0,0,0,1,0,0,1,0,0,1,0,0
198,44,4,1.0,0,4119,1,1,1074,1637449200,1,-1,0,1,0,1,0,0,1,0,0,1,0,0
199,35,4,1.0,0,-126,0,0,82,1629583200,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
200,30,9,0.0,0,-287,1,0,244,1626213600,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
201,37,9,0.0,0,1142,1,0,309,1626472800,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
202,42,4,1.0,0,72,1,0,124,1618869600,2,348,3,0,0,0,1,0,0,1,0,0,0,1
203,33,7,0.0,0,-52,1,0,278,1621288800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
204,50,3,2.0,0,238,0,0,968,1630015200,5,-1,0,0,0,0,1,0,0,1,0,1,0,0
205,41,0,0.0,0,261,1,0,797,1627509600,15,-1,0,0,0,0,1,0,0,1,0,1,0,0
206,41,0,0.0,0,8238,1,1,124,1622325600,4,-1,0,0,1,0,0,1,0,0,0,1,0,0
207,45,0,2.0,0,-407,1,1,503,1611874800,2,224,18,0,0,0,1,0,0,1,0,0,1,0
208,30,9,0.0,0,3,0,0,21,1630101600,6,-1,0,0,0,0,1,0,0,1,0,1,0,0
209,53,4,1.0,0,1624,0,0,166,1636585200,3,97,7,1,0,0,1,0,0,1,1,0,0,0
210,29,8,1.0,0,80,1,0,15,1621029600,5,361,1,0,0,0,1,0,0,1,0,0,0,1
211,37,4,1.0,0,-9,0,0,168,1630188000,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
212,35,7,0.0,0,0,0,0,115,1623189600,4,-1,0,0,1,0,0,1,0,0,0,1,0,0
213,59,1,2.0,0,-91,1,0,239,1620856800,1,369,5,0,0,0,1,0,0,1,0,0,0,1
214,39,1,2.0,0,3324,0,0,108,1625781600,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
215,51,0,0.0,0,42,1,0,80,1620856800,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
216,34,4,1.0,0,2159,0,0,386,1613602800,1,-1,0,1,1,0,0,1,0,0,0,1,0,0
217,33,1,1.0,0,350,1,0,137,1624485600,5,-1,0,0,1,0,0,1,0,0,0,1,0,0
218,52,1,2.0,0,3990,0,0,1548,1637276400,1,153,1,0,0,0,1,0,0,1,0,0,1,0
219,30,4,1.0,0,1761,1,0,229,1621029600,2,294,1,0,0,0,1,0,0,1,0,0,1,0
220,42,1,2.0,0,784,0,0,428,1619560800,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
221,80,5,0.0,0,2354,0,0,199,1628028000,2,181,3,0,0,1,0,0,1,0,1,0,0,0
222,25,8,,0,722,0,0,623,1618956000,2,-1,0,1,0,1,0,0,1,0,0,1,0,0
223,41,6,0.0,0,713,1,0,78,1621375200,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
224,35,1,2.0,0,-631,1,0,124,1627423200,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
225,52,1,0.0,0,8180,1,0,81,1618264800,1,144,1,0,0,0,1,0,0,1,0,0,0,1
226,37,1,0.0,0,949,1,0,302,1621029600,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
227,54,3,0.0,0,1327,0,0,115,1622844000,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
228,36,1,0.0,0,767,1,0,62,1620165600,1,355,2,0,0,0,1,0,0,1,0,0,1,0
229,26,6,0.0,0,166,1,0,83,1626386400,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
230,41,7,2.0,0,5907,1,0,198,1620338400,1,167,5,0,0,0,1,0,0,1,0,0,0,1
231,52,9,0.0,0,989,0,0,356,1628632800,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
232,44,7,0.0,0,382,0,0,1167,1622844000,1,-1,0,0,1,0,0,1,0,0,0,1,0,0
233,48,1,0.0,0,339,0,1,123,1626213600,4,-1,0,0,0,1,0,0,1,0,0,1,0,0
234,45,1,,0,-72,1,0,306,1620684000,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
235,53,9,0.0,0,529,1,0,558,1611788400,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
236,56,6,2.0,0,97,0,1,215,1637103600,1,-1,0,0,0,1,0,0,1,0,0,1,0,0
237,48,0,0.0,0,3531,1,0,81,1618869600,2,287,6,0,0,0,1,0,0,1,0,0,0,1
238,26,1,0.0,0,5829,0,0,41,1626991200,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
239,51,1,2.0,0,2995,1,0,93,1623362400,2,-1,0,0,1,0,0,1,0,0,0,1,0,0
240,25,1,0.0,0,158,1,1,231,1626386400,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
241,54,9,0.0,0,0,0,0,464,1636153200,5,192,8,1,0,0,1,0,0,1,0,0,1,0
242,42,1,2.0,0,1628,1,0,119,1612479600,1,195,8,0,0,0,1,0,0,1,1,0,0,0
243,48,10,0.0,0,0,0,0,195,1629237600,3,-1,0,0,0,0,1,0,0,1,0,1,0,0
244,28,4,1.0,0,390,0,0,845,1632866400,1,232,4,1,0,0,1,0,0,1,1,0,0,0
245,55,5,0.0,0,1279,1,0,446,1620856800,3,357,8,0,0,0,1,0,0,1,0,0,1,0
246,32,1,0.0,0,1484,1,0,363,1622325600,7,-1,0,0,1,0,0,1,0,0,0,1,0,0
247,48,1,0.0,0,312,1,1,369,1612306800,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
248,61,5,0.0,0,1058,0,0,159,1619474400,3,-1,0,1,0,0,1,0,0,1,0,1,0,0
249,38,7,2.0,0,0,1,1,127,1620338400,1,171,2,0,0,0,1,0,0,1,0,0,1,0
250,33,9,0.0,0,116,0,1,307,1628028000,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
251,61,4,1.0,0,3371,0,0,299,1632780000,2,-1,0,1,0,0,1,0,0,1,0,1,0,0
252,36,4,1.0,0,618,0,0,280,1612306800,2,-1,0,0,0,0,1,0,0,1,0,1,0,0
253,27,4,1.0,0,1918,0,0,61,1612825200,1,-1,0,0,0,0,1,0,0,1,0,1,0,0
